Name,Всего проектов,Дата рождения,Дата смерти,Знак зодиака,Карьера,Место рождения,Место смерти,Рост,Сыгранные/озвученные персонажи,Фильмография
Орландо Блум,50,13/01/1977,,Козерог,"Актёр, Продюсер","Кентербери, Кент, Англия, Великобритания",-,1.8,Уилл Тёрнер (https://www.notion.so/298c10ae8c75806fb6eff973fa7bfae0?pvs=21),"Пираты Карибского моря: Проклятие Чёрной жемчужины (https://www.notion.so/296c10ae8c75804b9524e0f992ebcd89?pvs=21), Пираты Карибского моря: Сундук мертвеца (https://www.notion.so/298c10ae8c758045860dddf053e00437?pvs=21), Пираты Карибского моря: На краю света (https://www.notion.so/298c10ae8c758075a489f4d36badedbd?pvs=21), Пираты Карибского моря: Мертвецы не рассказывают сказки (https://www.notion.so/298c10ae8c758057be81e9859298a758?pvs=21)"
Кира Найтли,70,26/03/1985,,Овен,Актриса,"Теддингтон, Лондон, Англия, Великобритания",-,1.7,Элизабет Суонн  (https://www.notion.so/298c10ae8c758043961dd830fef4e63f?pvs=21),"Пираты Карибского моря: Проклятие Чёрной жемчужины (https://www.notion.so/296c10ae8c75804b9524e0f992ebcd89?pvs=21), Пираты Карибского моря: Сундук мертвеца (https://www.notion.so/298c10ae8c758045860dddf053e00437?pvs=21), Пираты Карибского моря: На краю света (https://www.notion.so/298c10ae8c758075a489f4d36badedbd?pvs=21), Пираты Карибского моря: Мертвецы не рассказывают сказки (https://www.notion.so/298c10ae8c758057be81e9859298a758?pvs=21)"
Джеффри Раш,80,06/07/1951,,Рак,Актёр,"Тувумба, Квинсленд, Австралия",-,1.81,Капитан Гектор Барбосса (https://www.notion.so/298c10ae8c7580639eb8c26368963a29?pvs=21),"Пираты Карибского моря: Проклятие Чёрной жемчужины (https://www.notion.so/296c10ae8c75804b9524e0f992ebcd89?pvs=21), Пираты Карибского моря: Сундук мертвеца (https://www.notion.so/298c10ae8c758045860dddf053e00437?pvs=21), Пираты Карибского моря: На краю света (https://www.notion.so/298c10ae8c758075a489f4d36badedbd?pvs=21), Пираты Карибского моря: На странных берегах (https://www.notion.so/298c10ae8c758063be9bcbf93325047b?pvs=21)"
Джонни Депп,100,09/06/1963,,Близнецы,"Актёр, Музыкант, Продюсер","Оуэнсборо, Кентукки, США",-,1.78,"Капитан Джек Воробей (https://www.notion.so/298c10ae8c7580b9a6fdeb40ea578a0f?pvs=21), Безумный Шляпник (https://www.notion.so/298c10ae8c758063aa73ce45c9cba068?pvs=21)","Пираты Карибского моря: Проклятие Чёрной жемчужины (https://www.notion.so/296c10ae8c75804b9524e0f992ebcd89?pvs=21), Пираты Карибского моря: Сундук мертвеца (https://www.notion.so/298c10ae8c758045860dddf053e00437?pvs=21), Пираты Карибского моря: На краю света (https://www.notion.so/298c10ae8c758075a489f4d36badedbd?pvs=21), Пираты Карибского моря: На странных берегах (https://www.notion.so/298c10ae8c758063be9bcbf93325047b?pvs=21), Пираты Карибского моря: Мертвецы не рассказывают сказки (https://www.notion.so/298c10ae8c758057be81e9859298a758?pvs=21), Алиса в стране чудес (https://www.notion.so/296c10ae8c7580c28f61d44ad30f584f?pvs=21)"
Билл Найи,150,12/12/1949,,Стрелец,Актёр,"Катерхэм, Суррей, Англия, Великобритания",-,1.88,Дэйви Джонс (https://www.notion.so/298c10ae8c7580468114c01243445ad7?pvs=21),"Пираты Карибского моря: Сундук мертвеца (https://www.notion.so/298c10ae8c758045860dddf053e00437?pvs=21), Пираты Карибского моря: На краю света (https://www.notion.so/298c10ae8c758075a489f4d36badedbd?pvs=21)"
Иэн Макшейн,130,29/09/1942,,Весы,"Актёр, Продюсер","Блэкберн, Ланкашир, Англия, Великобритания",-,1.71,Чёрная Борода  (https://www.notion.so/298c10ae8c7580338091c88e31c9d1ed?pvs=21),Пираты Карибского моря: На странных берегах (https://www.notion.so/298c10ae8c758063be9bcbf93325047b?pvs=21)
Пенелопа Крус,80,28/04/1974,,Телец,Актриса,"Алькобендас, Мадрид, Испания",-,1.68,Анжелика (https://www.notion.so/298c10ae8c7580d288bfe06a7e398a76?pvs=21),"Пираты Карибского моря: На странных берегах (https://www.notion.so/298c10ae8c758063be9bcbf93325047b?pvs=21), Пираты Карибского моря: Мертвецы не рассказывают сказки (https://www.notion.so/298c10ae8c758057be81e9859298a758?pvs=21)"
Хавьер Бардем,70,01/03/1969,,Рыбы,Актёр,"Лас-Пальмас-де-Гран-Канария, Канарские острова, Испания",-,1.81,"Капитан Армандо Салазар  (https://www.notion.so/298c10ae8c7580c28211e6062ad90350?pvs=21), Царь Тритон (https://www.notion.so/298c10ae8c75803f8fd0fcad2c9e1581?pvs=21)","Пираты Карибского моря: Мертвецы не рассказывают сказки (https://www.notion.so/298c10ae8c758057be81e9859298a758?pvs=21), Русалочка: история Ариэль (https://www.notion.so/296c10ae8c7580f7ad2ef5ae08576fff?pvs=21)"
Холли Бейли,15,27/03/2000,,Овен,"Актриса, Певица","Атланта, Джорджия, США",-,1.57,Русалочка Ариэль (https://www.notion.so/298c10ae8c7580f1bd19c19982d1232c?pvs=21),Русалочка: история Ариэль (https://www.notion.so/296c10ae8c7580f7ad2ef5ae08576fff?pvs=21)
Джона Хауэр-Кинг,20,30/05/1995,,Близнецы,Актёр,"Лондон, Англия, Великобритания",-,1.88,Принц Эрик (https://www.notion.so/298c10ae8c75805fa9a0d5a05caf727f?pvs=21),Русалочка: история Ариэль (https://www.notion.so/296c10ae8c7580f7ad2ef5ae08576fff?pvs=21)
Мелисса Маккарти,80,26/08/1970,,Дева,"Актриса, Комик, Продюсер, Сценарист","Плейнфилд, Иллинойс, США",-,1.57,Ведьма Урсула (https://www.notion.so/298c10ae8c75803f8acee68af4f0c4ec?pvs=21),Русалочка: история Ариэль (https://www.notion.so/296c10ae8c7580f7ad2ef5ae08576fff?pvs=21)
Эмма Стоун,60,06/11/1988,,Скорпион,"Актриса, Продюсер","Скоттсдейл, Аризона, США",-,1.68,Круэлла / Эстелла (https://www.notion.so/298c10ae8c7580a78b50fe66696fa517?pvs=21),Круэлла (https://www.notion.so/296c10ae8c758054a5d8d3e3db093c3e?pvs=21)
Эмма Томпсон,100,15/04/1959,,Овен,"Актриса, Сценарист","Паддингтон, Лондон, Англия, Великобритания",-,1.73,"Баронесса фон Хеллман (https://www.notion.so/298c10ae8c7580cca522f4db37d427f0?pvs=21), Памела «П. Л.» Трэверс  (https://www.notion.so/298c10ae8c7580cb9140cd3b674fb1fc?pvs=21)","Круэлла (https://www.notion.so/296c10ae8c758054a5d8d3e3db093c3e?pvs=21), Спасти мистера Бэнкса (https://www.notion.so/296c10ae8c7580248a02dd084c5df0bf?pvs=21)"
Анджелина Джоли,70,04/06/1975,,Близнецы,"Актриса, Гуманитарный деятель, Продюсер, Режиссёр","Лос-Анджелес, Калифорния, США",-,1.69,Фея Малефисента (https://www.notion.so/298c10ae8c75809db987e12d583d6fe6?pvs=21),"Малефисента (https://www.notion.so/296c10ae8c7580bf9bb5f56219dc2e74?pvs=21), Малефисента: Владычица тьмы (https://www.notion.so/296c10ae8c75800c9e57f13f9e3d37bc?pvs=21)"
Эль Фэннинг,70,09/04/1998,,Овен,"Актриса, Продюсер","Коньерс, Джорджия, США",-,1.75,Принцесса Аврора (https://www.notion.so/298c10ae8c758084bd4ec683d1e249b6?pvs=21),"Малефисента (https://www.notion.so/296c10ae8c7580bf9bb5f56219dc2e74?pvs=21), Малефисента: Владычица тьмы (https://www.notion.so/296c10ae8c75800c9e57f13f9e3d37bc?pvs=21)"
Сэм Райли,30,08/01/1980,,Козерог,"Актёр, Певец","Менстон, Уэст-Йоркшир, Англия, Великобритания",-,1.83,Диаваль (https://www.notion.so/298c10ae8c7580229cbad9f60a10d82e?pvs=21),"Малефисента (https://www.notion.so/296c10ae8c7580bf9bb5f56219dc2e74?pvs=21), Малефисента: Владычица тьмы (https://www.notion.so/296c10ae8c75800c9e57f13f9e3d37bc?pvs=21)"
Шарлто Копли,30,27/11/1973,,Стрелец,"Актёр, Продюсер, Режиссёр","Йоханнесбург, ЮАР",-,1.83,Король Стефан  (https://www.notion.so/298c10ae8c75800bab9bdceb86030e9b?pvs=21),Малефисента (https://www.notion.so/296c10ae8c7580bf9bb5f56219dc2e74?pvs=21)
Мишель Пфайффер,70,29/04/1958,,Телец,"Актриса, Продюсер","Санта-Ана, Калифорния, США",-,1.71,Королева Ингрит (https://www.notion.so/298c10ae8c75803596b2df566c92bdea?pvs=21),Малефисента: Владычица тьмы (https://www.notion.so/296c10ae8c75800c9e57f13f9e3d37bc?pvs=21)
Лили Джеймс,40,05/04/1989,,Овен,Актриса,"Ишер, Суррей, Англия, Великобритания",-,1.7,Элла / Золушка (https://www.notion.so/298c10ae8c7580c69ccef7a2ab66cba7?pvs=21),Золушка: Магия доброты (https://www.notion.so/296c10ae8c7580418988f3e8c54325b4?pvs=21)
Кейт Бланшетт,90,14/05/1969,,Телец,"Актриса, Продюсер","Мельбурн, Виктория, Австралия",-,1.74,Леди Тремейн / Мачеха (https://www.notion.so/298c10ae8c75806d91ebe17ff7cb9309?pvs=21),Золушка: Магия доброты (https://www.notion.so/296c10ae8c7580418988f3e8c54325b4?pvs=21)
Хелена Бонем Картер,120,26/05/1966,,Близнецы,Актриса,"Ислингтон, Лондон, Англия, Великобритания",-,1.57,"Фея-крёстная  (https://www.notion.so/298c10ae8c7580218afbd1bd1cef5c33?pvs=21), Красная Королева (https://www.notion.so/298c10ae8c7580e793abda271c6e2c51?pvs=21)","Золушка: Магия доброты (https://www.notion.so/296c10ae8c7580418988f3e8c54325b4?pvs=21), Алиса в стране чудес (https://www.notion.so/296c10ae8c7580c28f61d44ad30f584f?pvs=21)"
Мена Массуд,20,17/09/1991,,Дева,Актёр,"Каир, Египет",-,1.73,Воришка Аладдин (https://www.notion.so/298c10ae8c75800e862ae7e20a8b1e37?pvs=21),Аладдин: Новое желание (https://www.notion.so/296c10ae8c75809fb765d98651b3c44f?pvs=21)
Наоми Скотт,25,06/05/1993,,Телец,"Актриса, Певица","Хаунслоу, Лондон, Англия, Великобритания",-,1.67,Принцесса Жасмин (https://www.notion.so/298c10ae8c7580478fc4c75feb9e9663?pvs=21),Аладдин: Новое желание (https://www.notion.so/296c10ae8c75809fb765d98651b3c44f?pvs=21)
Уилл Смит,100,25/09/1968,,Весы,"Актёр, Продюсер, Рэпер","Филадельфия, Пенсильвания, США",-,1.88,Джинн (дух) (https://www.notion.so/298c10ae8c7580feb869f4e8ec3ad491?pvs=21),Аладдин: Новое желание (https://www.notion.so/296c10ae8c75809fb765d98651b3c44f?pvs=21)
Марван Кензари,40,16/01/1983,,Козерог,Актёр,"Гаага, Нидерланды",-,1.76,Визирь Джафар (https://www.notion.so/298c10ae8c758071a587d18fbcdbb67f?pvs=21),Аладдин: Новое желание (https://www.notion.so/296c10ae8c75809fb765d98651b3c44f?pvs=21)
Колин Фаррелл,80,31/05/1976,,Близнецы,"Актёр, Продюсер","Каслнок, Дублин, Ирландия",-,1.78,Холт Фэрриер (https://www.notion.so/298c10ae8c75802d8760c43113b26c48?pvs=21),Дамбо: Легенда цирка (https://www.notion.so/296c10ae8c7580368a31cc2704addcbc?pvs=21)
Эдд Осмонд,40,15/07/1988,,Рак,"Актёр, Войс-актер","Англия, Великобритания",-,1.63,Слоненок Дамбо (https://www.notion.so/298c10ae8c7580158107e22881dd6cb6?pvs=21),Дамбо: Легенда цирка (https://www.notion.so/296c10ae8c7580368a31cc2704addcbc?pvs=21)
Майкл Китон,100,05/09/1951,,Дева,"Актёр, Продюсер","Кораополис, Пенсильвания, США",-,1.75,Вэндевер (https://www.notion.so/298c10ae8c75809bb38dc254c3306d01?pvs=21),Дамбо: Легенда цирка (https://www.notion.so/296c10ae8c7580368a31cc2704addcbc?pvs=21)
Нил Сети,5,22/12/2003,,Козерог,Актёр,"Нью-Йорк, США",-,1.63,Мальчик Маугли (https://www.notion.so/298c10ae8c7580cd9a59ecbd740d5bba?pvs=21),Книга джунглей: Закон джунглей (https://www.notion.so/296c10ae8c75803fb9c5dc879fef1369?pvs=21)
Билл Мюррей,100,21/09/1950,,Дева,"Актёр, Войс-актер, Комик, Сценарист","Эванстон, Иллинойс, США",-,1.88,Медведь Балу  (https://www.notion.so/298c10ae8c758063bb98f2bd23354688?pvs=21),Книга джунглей: Закон джунглей (https://www.notion.so/296c10ae8c75803fb9c5dc879fef1369?pvs=21)
Бен Кингсли,150,31/12/1943,,Козерог,"Актёр, Войс-актер","Скарборо, Йоркшир, Англия, Великобритания",-,1.73,Пантера Багира (https://www.notion.so/298c10ae8c75804889c0f5c7e36231ce?pvs=21),Книга джунглей: Закон джунглей (https://www.notion.so/296c10ae8c75803fb9c5dc879fef1369?pvs=21)
Идрис Эльба,100,06/09/1972,,Дева,"Актёр, Войс-актер, Музыкант, Продюсер","Лондон, Англия, Великобритания",-,1.79,Лев Шер-Хан (https://www.notion.so/298c10ae8c7580d58d1acf11be6f9f54?pvs=21),Книга джунглей: Закон джунглей (https://www.notion.so/296c10ae8c75803fb9c5dc879fef1369?pvs=21)
Миа Васиковска,40,25/10/1989,,Скорпион,Актриса,"Канберра, Австралия",-,1.62,Алиса Кингсли (https://www.notion.so/298c10ae8c7580c7ae31dfba25a8d9c5?pvs=21),Алиса в стране чудес (https://www.notion.so/296c10ae8c7580c28f61d44ad30f584f?pvs=21)
Стивен Фрай,150,24/08/1957,,Дева,"Актёр, Комик, Писатель, Телеведущий","Хампстед, Лондон, Англия, Великобритания",-,1.94,Чеширский Кот (https://www.notion.so/298c10ae8c7580429ac2c48d5da6868a?pvs=21),Алиса в стране чудес (https://www.notion.so/296c10ae8c7580c28f61d44ad30f584f?pvs=21)
Джули Эндрюс,60,01/10/1935,,Весы,"Актриса, Певица","Уолтон-на-Темзе, Суррей, Англия, Великобритания",-,1.7,Мэри Поппинс (https://www.notion.so/298c10ae8c758040849ae0bc21ae1927?pvs=21),Мэри Поппинс (https://www.notion.so/296c10ae8c758077a817d5322deb3d65?pvs=21)
Дик Ван Дайк,100,13/12/1925,,Стрелец,"Актёр, Комик, Певец, Танцор","Уэст-Плейнс, Миссури, США",-,1.85,Берт (https://www.notion.so/298c10ae8c7580d29baae0a1e4cc50f1?pvs=21),Мэри Поппинс (https://www.notion.so/296c10ae8c758077a817d5322deb3d65?pvs=21)
Дэвид Томлинсон,60,07/05/1917,24/06/2000,Телец,Актёр,"Хенли-он-Темс, Оксфордшир, Англия, Великобритания","Лондон, Англия, Великобритания",1.85,Бэнкс (https://www.notion.so/298c10ae8c7580959388f038e8128e8f?pvs=21),Мэри Поппинс (https://www.notion.so/296c10ae8c758077a817d5322deb3d65?pvs=21)
Пол Джаматти,120,06/06/1967,,Близнецы,"Актёр, Продюсер","Нью-Хейвен, Коннектикут, США",-,1.74,Ральф (https://www.notion.so/298c10ae8c7580879f02e186edd074ec?pvs=21),Спасти мистера Бэнкса (https://www.notion.so/296c10ae8c7580248a02dd084c5df0bf?pvs=21)
Эмма Уотсон,30,15/04/1990,,Овен,"Активистка, Актриса","Париж, Франция",-,1.65,Принцесса Белль (https://www.notion.so/298c10ae8c75807ca175cd6cb653dd45?pvs=21),Красавица и чудовище: Пробуждение чувств (https://www.notion.so/296c10ae8c758041bfb3d4232f2c69f9?pvs=21)
Дэн Стивенс,50,10/10/1982,,Весы,Актёр,"Кройдон, Лондон, Англия, Великобритания",-,1.83,Принц Адам (https://www.notion.so/298c10ae8c758090a472c1267651345d?pvs=21),Красавица и чудовище: Пробуждение чувств (https://www.notion.so/296c10ae8c758041bfb3d4232f2c69f9?pvs=21)
Люк Эванс,50,15/04/1979,,Овен,"Актёр, Певец","Понтипул, Уэльс, Великобритания",-,1.83,Охотник Гастон (https://www.notion.so/298c10ae8c758006bad8e5ea7089ecd2?pvs=21),Красавица и чудовище: Пробуждение чувств (https://www.notion.so/296c10ae8c758041bfb3d4232f2c69f9?pvs=21)
Джей Ди МакКрэри,15,18/07/2007,,Рак,"Актёр, Войс-актер, Певец","Гранада-Хиллз, Калифорния, США",-,1.6,Львенок Симба (https://www.notion.so/298c10ae8c7580c0ac18e8b130914f65?pvs=21),Король Лев: Новая глава (https://www.notion.so/296c10ae8c7580e7b30bd02fdbd1da0d?pvs=21)
Джон Оливер,60,23/04/1977,,Телец,"Актёр, Войс-актер, Комик, Телеведущий","Бирмингем, Англия, Великобритания",-,1.8,Зазу (https://www.notion.so/298c10ae8c758042aa8fc75f8a17d0db?pvs=21),Король Лев: Новая глава (https://www.notion.so/296c10ae8c7580e7b30bd02fdbd1da0d?pvs=21)
Чиветел Эджиофор,60,10/07/1977,,Рак,"Актёр, Войс-актер, Режиссёр","Лондон, Англия, Великобритания",-,1.78,Лев Шрам (https://www.notion.so/298c10ae8c7580929142ce6cf5d07fb7?pvs=21),Король Лев: Новая глава (https://www.notion.so/296c10ae8c7580e7b30bd02fdbd1da0d?pvs=21)
Мерил Стрип,90,22/06/1949,,Рак,Актриса,"Саммит, Нью-Джерси, США",-,1.68,Ведьма (https://www.notion.so/298c10ae8c758078a373ef632875f5ec?pvs=21),Чем дальше в лес... (https://www.notion.so/296c10ae8c7580a2a45fc861a5361dc0?pvs=21)
Эмили Блант,50,23/02/1983,,Рыбы,Актриса,"Уондсуэрт, Лондон, Англия, Великобритания",-,1.7,Жена Пекаря (https://www.notion.so/298c10ae8c7580d2a1d6f92e762732d6?pvs=21),Чем дальше в лес... (https://www.notion.so/296c10ae8c7580a2a45fc861a5361dc0?pvs=21)
Лилла Кроуфорд,15,23/02/2001,,Рыбы,"Актриса, Певица","Лос-Анджелес, Калифорния, США",-,1.55,Красная Шапочка (https://www.notion.so/298c10ae8c75801598b1ef8d83a4b318?pvs=21),Чем дальше в лес... (https://www.notion.so/296c10ae8c7580a2a45fc861a5361dc0?pvs=21)
Роберт Дауни-младший,90,04/04/1965,,Овен,"Актёр, Продюсер","Манхэттен, Нью-Йорк, США",-,1.74,Тони Старк / Железный человек (https://www.notion.so/298c10ae8c758075b489d5011363fef8?pvs=21),Железный человек (https://www.notion.so/296c10ae8c7580d9a13ec93be2ca9026?pvs=21)
Джефф Бриджес,80,04/12/1949,,Стрелец,"Актёр, Музыкант, Продюсер","Лос-Анджелес, Калифорния, США",-,1.85,Обадайя Стейн / Железный Торговец (https://www.notion.so/298c10ae8c7580db8348de7bb4535f93?pvs=21),Железный человек (https://www.notion.so/296c10ae8c7580d9a13ec93be2ca9026?pvs=21)
Гвинет Пэлтроу,60,27/09/1972,,Весы,"Актриса, Предприниматель","Лос-Анджелес, Калифорния, США",-,1.75,Пеппер Поттс (https://www.notion.so/298c10ae8c7580af9969cfe6865fb2eb?pvs=21),Железный человек (https://www.notion.so/296c10ae8c7580d9a13ec93be2ca9026?pvs=21)
Марк Хэмилл,400,25/09/1951,,Весы,"Актёр, Войс-актер","Окленд, Калифорния, США",-,1.75,Люк Скайуокер (https://www.notion.so/298c10ae8c7580d592e3c6a041c8b8e1?pvs=21),Звёздные войны: Эпизод IV — Новая надежда (https://www.notion.so/IV-296c10ae8c7580659e9be21e83d1cadf?pvs=21)
Харрисон Форд,80,13/07/1942,,Рак,"Актёр, Продюсер","Чикаго, Иллинойс, США",-,1.85,Хан Соло (https://www.notion.so/298c10ae8c758063ad1bc2b6f46c6451?pvs=21),Звёздные войны: Эпизод IV — Новая надежда (https://www.notion.so/IV-296c10ae8c7580659e9be21e83d1cadf?pvs=21)
Дэвид Прауз,50,01/07/1935,28/11/2020,Рак,Актёр,"Бристоль, Англия","Лондон, Англия",1.98,Дарт Вейдер (https://www.notion.so/298c10ae8c75808b898eef470ba69ad8?pvs=21),Звёздные войны: Эпизод IV — Новая надежда (https://www.notion.so/IV-296c10ae8c7580659e9be21e83d1cadf?pvs=21)
Джеймс Эрл Джонс,50,17/01/1931,,Козерог,Войс-актер,"Аркабутла, Миссисипи, США",-,1.68,Дарт Вейдер (https://www.notion.so/298c10ae8c75808b898eef470ba69ad8?pvs=21),Звёздные войны: Эпизод IV — Новая надежда (https://www.notion.so/IV-296c10ae8c7580659e9be21e83d1cadf?pvs=21)